Data,Nome,WeekDay
2/25/2031,TERCA-FEIRA CARNAVAL,terça-feira
4/11/2031,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2031,TIRADENTES,segunda-feira
5/1/2031,DIA DO TRABALHO,quinta-feira
6/12/2031,CORPUS CHRISTI,quinta-feira
9/7/2031,INDEPENDENCIA,domingo
10/12/2031,N.S.APARECIDA,domingo
11/2/2031,FINADOS,domingo
11/15/2031,PROC.DA REPUBLICA,sábado
12/25/2031,NATAL,quinta-feira
1/1/2032,CONFRATERNIZACAO,quinta-feira
2/9/2032,SEGUNDA-FEIRA CARNAV,segunda-feira
2/10/2032,TERCA-FEIRA CARNAVAL,terça-feira
3/26/2032,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2032,TIRADENTES,quarta-feira
5/1/2032,DIA DO TRABALHO,sábado
5/27/2032,CORPUS CHRISTI,quinta-feira
9/7/2032,INDEPENDENCIA,terça-feira
10/12/2032,N.S.APARECIDA,terça-feira
11/2/2032,FINADOS,terça-feira
11/15/2032,PROC.DA REPUBLICA,segunda-feira
12/25/2032,NATAL,sábado
1/1/2033,CONFRATERNIZACAO,sábado
2/28/2033,SEGUNDA-FEIRA CARNAV,segunda-feira
3/1/2033,TERCA-FEIRA CARNAVAL,terça-feira
4/15/2033,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2033,TIRADENTES,quinta-feira
5/1/2033,DIA DO TRABALHO,domingo
6/16/2033,CORPUS CHRISTI,quinta-feira
9/7/2033,INDEPENDENCIA,quarta-feira
10/12/2033,N.S.APARECIDA,quarta-feira
11/2/2033,FINADOS,quarta-feira
11/15/2033,PROC.DA REPUBLICA,terça-feira
12/25/2033,NATAL,domingo
1/1/2034,CONFRATERNIZACAO,domingo
2/20/2034,SEGUNDA-FEIRA CARNAV,segunda-feira
2/21/2034,TERCA-FEIRA CARNAVAL,terça-feira
4/7/2034,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2034,TIRADENTES,sexta-feira
5/1/2034,DIA DO TRABALHO,segunda-feira
6/8/2034,CORPUS CHRISTI,quinta-feira
9/7/2034,INDEPENDENCIA,quinta-feira
10/12/2034,N.S.APARECIDA,quinta-feira
11/2/2034,FINADOS,quinta-feira
11/15/2034,PROC.DA REPUBLICA,quarta-feira
12/25/2034,NATAL,segunda-feira
1/1/2035,CONFRATERNIZACAO,segunda-feira
2/5/2035,SEGUNDA-FEIRA CARNAV,segunda-feira
2/6/2035,TERCA-FEIRA CARNAVAL,terça-feira
3/23/2035,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2035,TIRADENTES,sábado
5/1/2035,DIA DO TRABALHO,terça-feira
5/24/2035,CORPUS CHRISTI,quinta-feira
9/7/2035,INDEPENDENCIA,sexta-feira
10/12/2035,N.S.APARECIDA,sexta-feira
11/2/2035,FINADOS,sexta-feira
11/15/2035,PROC.DA REPUBLICA,quinta-feira
12/25/2035,NATAL,terça-feira
1/1/2036,CONFRATERNIZACAO,terça-feira
2/25/2036,SEGUNDA-FEIRA CARNAV,segunda-feira
2/26/2036,TERCA-FEIRA CARNAVAL,terça-feira
4/11/2036,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2036,TIRADENTES,segunda-feira
5/1/2036,DIA DO TRABALHO,quinta-feira
6/12/2036,CORPUS CHRISTI,quinta-feira
9/7/2036,INDEPENDENCIA,domingo
10/12/2036,N.S.APARECIDA,domingo
11/2/2036,FINADOS,domingo
11/15/2036,PROC.DA REPUBLICA,sábado
12/25/2036,NATAL,quinta-feira
1/1/2037,CONFRATERNIZACAO,quinta-feira
2/16/2037,SEGUNDA-FEIRA CARNAV,segunda-feira
2/17/2037,TERCA-FEIRA CARNAVAL,terça-feira
4/3/2037,SEXTA-FEIRA PAIXAO,sexta-feira
4/21/2037,TIRADENTES,terça-feira
5/1/2037,DIA DO TRABALHO,sexta-feira
6/4/2037,CORPUS CHRISTI,quinta-feira
9/7/2037,INDEPENDENCIA,segunda-feira
10/12/2037,N.S.APARECIDA,segunda-feira
11/2/2037,FINADOS,segunda-feira
11/15/2037,PROC.DA REPUBLICA,domingo
12/25/2037,NATAL,sexta-feira
1/1/2038,CONFRATERNIZACAO,sexta-feira
3/8/2038,SEGUNDA-FEIRA CARNAV,segunda-feira
3/9/2038,TERCA-FEIRA CARNAVAL,terça-feira
4/21/2038,TIRADENTES,quarta-feira
